,Unnamed: 0.1,Unnamed: 0,Region,Country,State,City,Month,Day,Year,AvgTemperature
115,4498,2045907,North America,US,Massachusetts,Boston,4,26,2007,50.4
116,4499,2045908,North America,US,Massachusetts,Boston,4,27,2007,47.5
117,4500,2045909,North America,US,Massachusetts,Boston,4,28,2007,46.6
118,4501,2045910,North America,US,Massachusetts,Boston,4,29,2007,47.7
119,4502,2045911,North America,US,Massachusetts,Boston,4,30,2007,52.8
120,4503,2045912,North America,US,Massachusetts,Boston,5,1,2007,57.0
121,4504,2045913,North America,US,Massachusetts,Boston,5,2,2007,53.5
122,4505,2045914,North America,US,Massachusetts,Boston,5,3,2007,60.7
123,4506,2045915,North America,US,Massachusetts,Boston,5,4,2007,58.3
124,4507,2045916,North America,US,Massachusetts,Boston,5,5,2007,57.0
125,4508,2045917,North America,US,Massachusetts,Boston,5,6,2007,48.6
126,4509,2045918,North America,US,Massachusetts,Boston,5,7,2007,51.1
127,4510,2045919,North America,US,Massachusetts,Boston,5,8,2007,61.5
128,4511,2045920,North America,US,Massachusetts,Boston,5,9,2007,69.5
129,4512,2045921,North America,US,Massachusetts,Boston,5,10,2007,71.9
130,4513,2045922,North America,US,Massachusetts,Boston,5,11,2007,66.9
131,4514,2045923,North America,US,Massachusetts,Boston,5,12,2007,60.2
132,4515,2045924,North America,US,Massachusetts,Boston,5,13,2007,55.8
133,4516,2045925,North America,US,Massachusetts,Boston,5,14,2007,60.5
134,4517,2045926,North America,US,Massachusetts,Boston,5,15,2007,63.7
135,4518,2045927,North America,US,Massachusetts,Boston,5,16,2007,59.0
136,4519,2045928,North America,US,Massachusetts,Boston,5,17,2007,47.1
137,4520,2045929,North America,US,Massachusetts,Boston,5,18,2007,44.4
138,4521,2045930,North America,US,Massachusetts,Boston,5,19,2007,46.5
139,4522,2045931,North America,US,Massachusetts,Boston,5,20,2007,54.9
140,4523,2045932,North America,US,Massachusetts,Boston,5,21,2007,58.0
141,4524,2045933,North America,US,Massachusetts,Boston,5,22,2007,58.8
142,4525,2045934,North America,US,Massachusetts,Boston,5,23,2007,60.2
143,4526,2045935,North America,US,Massachusetts,Boston,5,24,2007,64.3
144,4527,2045936,North America,US,Massachusetts,Boston,5,25,2007,80.5
145,4528,2045937,North America,US,Massachusetts,Boston,5,26,2007,80.4
146,4529,2045938,North America,US,Massachusetts,Boston,5,27,2007,66.5
147,4530,2045939,North America,US,Massachusetts,Boston,5,28,2007,68.8
148,4531,2045940,North America,US,Massachusetts,Boston,5,29,2007,69.4
149,4532,2045941,North America,US,Massachusetts,Boston,5,30,2007,69.3
150,4533,2045942,North America,US,Massachusetts,Boston,5,31,2007,64.6
151,4534,2045943,North America,US,Massachusetts,Boston,6,1,2007,65.6
152,4535,2045944,North America,US,Massachusetts,Boston,6,2,2007,74.4
153,4536,2045945,North America,US,Massachusetts,Boston,6,3,2007,62.4
154,4537,2045946,North America,US,Massachusetts,Boston,6,4,2007,56.2
155,4538,2045947,North America,US,Massachusetts,Boston,6,5,2007,66.4
156,4539,2045948,North America,US,Massachusetts,Boston,6,6,2007,64.0
157,4540,2045949,North America,US,Massachusetts,Boston,6,7,2007,60.7
158,4541,2045950,North America,US,Massachusetts,Boston,6,8,2007,64.8
159,4542,2045951,North America,US,Massachusetts,Boston,6,9,2007,60.5
160,4543,2045952,North America,US,Massachusetts,Boston,6,10,2007,60.9
161,4544,2045953,North America,US,Massachusetts,Boston,6,11,2007,69.8
162,4545,2045954,North America,US,Massachusetts,Boston,6,12,2007,68.1
